ORIG_MA,ORIG_STATE,ORIG_CFS_AREA,MA,Description
380,01,01-380,C,"Mobile-Daphne-Fairhope, AL  CFS Area "
400,47,47-400,C,"Nashville-Davidson--Murfreesboro, TN  CFS Area "
406,22,22-406,C,"New Orleans-Metairie-Hammond, LA-MS  CFS Area (LA Part)"
408,09,09-408,C,"New York-Newark, NY-NJ-CT-PA  CFS Area (CT Part)"
408,34,34-408,C,"New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)"
408,36,36-408,C,"New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
408,42,42-408,C,"New York-Newark, NY-NJ-CT-PA  CFS Area (PA Part)"
416,40,40-416,C,"Oklahoma City-Shawnee, OK  CFS Area "
420,31,31-420,C,"Omaha-Council Bluffs-Fremont, NE-IA  CFS Area (NE Part)"
422,12,12-422,C,"Orlando-Deltona-Daytona Beach, FL  CFS Area "
428,10,10-428,C,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (DE Part)"
428,34,34-428,C,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (NJ Part)"
428,42,42-428,C,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (PA Part)"
430,42,42-430,C,"Pittsburgh-New Castle-Weirton, PA-OH-WV  CFS Area (PA Part)"
440,41,41-440,C,"Portland-Vancouver-Salem, OR-WA  CFS Area (OR Part)"
440,53,53-440,C,"Portland-Vancouver-Salem, OR-WA  CFS Area (WA Part)"
450,37,37-450,C,"Raleigh-Durham-Chapel Hill, NC  CFS Area "
464,36,36-464,C,"Rochester-Batavia-Seneca Falls, NY  CFS Area "
472,06,06-472,C,"Sacramento-Roseville, CA  CFS Area "
476,17,17-476,C,"St. Louis-St. Charles-Farmington, MO-IL  CFS Area (IL Part)"
476,29,29-476,C,"St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)"
482,49,49-482,C,"Salt Lake City-Provo-Orem, UT  CFS Area "
488,06,06-488,C,"San Jose-San Francisco-Oakland, CA  CFS Area "
496,13,13-496,C,"Savannah-Hinesville-Statesboro, GA  CFS Area "
500,53,53-500,C,"Seattle-Tacoma, WA  CFS Area "
536,04,04-536,C,"Tucson-Nogales, AZ  CFS Area "
538,40,40-538,C,"Tulsa-Muskogee-Bartlesville, OK  CFS Area "
545,51,51-545,C,"Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
556,20,20-556,C,"Wichita-Arkansas City-Winfield, KS  CFS Area "
12420,48,48-12420,M,"Austin-Round Rock, TX  CFS Area "
12580,24,24-12580,M,"Baltimore-Columbia-Towson, MD  CFS Area "
12940,22,22-12940,M,"Baton Rouge, LA  CFS Area "
13140,48,48-13140,M,"Beaumont-Port Arthur, TX  CFS Area "
16700,45,45-16700,M,"Charleston-North Charleston-Summerville, SC  CFS Area "
25540,09,09-25540,M,"Hartford-West Hartford-East Hartford, CT  CFS Area "
29340,22,22-29340,M,"Lake Charles, LA  CFS Area "
29700,48,48-29700,M,"Laredo, TX   CFS Area "
38060,04,04-38060,M,"Phoenix-Mesa-Glendale, AZ  CFS Area "
40060,51,51-40060,M,"Richmond, VA  CFS Area "
41700,48,48-41700,M,"San Antonio-New Braunfels, TX  CFS Area "
41740,06,06-41740,M,"San Diego-Carlsbad-San Marcos, CA  CFS Area "
45300,12,12-45300,M,"Tampa-St. Petersburg-Clearwater, FL  CFS Area "
46520,15,15-46520,M,"Urban Honolulu, HI  CFS Area "
47900,11,11-47900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (DC Part)"
47900,24,24-47900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (MD Part)"
47900,51,51-47900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)"
99999,01,01-99999,R,Remainder of Alabama
99999,04,04-99999,R,Remainder of Arizona
99999,06,06-99999,R,Remainder of California
99999,08,08-99999,R,Remainder of Colorado
99999,09,09-99999,R,Remainder of Connecticut
99999,10,10-99999,R,Remainder of Delaware
99999,12,12-99999,R,Remainder of Florida
99999,13,13-99999,R,Remainder of Georgia
99999,15,15-99999,R,Remainder of Hawaii
99999,17,17-99999,R,Remainder of Illinois
99999,18,18-99999,R,Remainder of Indiana
99999,20,20-99999,R,Remainder of Kansas
99999,21,21-99999,R,Remainder of Kentucky
99999,22,22-99999,R,Remainder of Louisiana
99999,24,24-99999,R,Remainder of Maryland
99999,25,25-99999,R,Remainder of Massachusetts
99999,26,26-99999,R,Remainder of Michigan
99999,27,27-99999,R,Remainder of Minnesota
99999,29,29-99999,R,Remainder of Missouri
99999,31,31-99999,R,Remainder of Nebraska
99999,32,32-99999,R,Remainder of Nevada
99999,33,33-99999,R,Remainder of New Hampshire
99999,36,36-99999,R,Remainder of New York
99999,37,37-99999,R,Remainder of North Carolina
99999,39,39-99999,R,Remainder of Ohio
99999,40,40-99999,R,Remainder of Oklahoma
99999,41,41-99999,R,Remainder of Oregon
99999,42,42-99999,R,Remainder of Pennsylvania
99999,45,45-99999,R,Remainder of South Carolina
99999,47,47-99999,R,Remainder of Tennessee
99999,48,48-99999,R,Remainder of Texas
99999,49,49-99999,R,Remainder of Utah
99999,51,51-99999,R,Remainder of Virginia
99999,53,53-99999,R,Remainder of Washington
99999,55,55-99999,R,Remainder of Wisconsin
99999,02,02-99999,S,Remainder of Alaska
99999,05,05-99999,S,Remainder of Arkansas
99999,16,16-99999,S,Remainder of Idaho
99999,19,19-99999,S,Remainder of Iowa
99999,23,23-99999,S,Remainder of Maine
99999,28,28-99999,S,Remainder of Mississippi
99999,30,30-99999,S,Remainder of Montana
99999,35,35-99999,S,Remainder of New Mexico
99999,38,38-99999,S,Remainder of North Dakota
99999,46,46-99999,S,Remainder of South Dakota
99999,50,50-99999,S,Remainder of Vermont
99999,54,54-99999,S,Remainder of West Virginia
99999,56,56-99999,S,Remainder of Wyoming
00000,NN,NN-00000,,"Metro area suppressed, state (NN) still shown"
00000,0,00-00000,,Shipment origin suppressed completely
